,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
2126,Convolvulus,euphraticus,,,Bornm. 
2128,Convolvulus,galaticus,,,Rostan ex Choisy 
2132,Convolvulus,hamrinensis,,,Rech.  fil. 
2139,Convolvulus,humilis,,,Jacq. 
2141,Convolvulus,libanoticus,,,Boiss. 
2143,Convolvulus,lineatus,,,L. 
2147,Convolvulus,pentapetaloides,,,L. 
2149,Convolvulus,pilosellifolius,,,Desr. 
2151,Convolvulus,reticulatus,,,Choisy 
2153,Convolvulus,scammonia,,,L. 
2155,Convolvulus,secundus,,,Desr. 
2157,Convolvulus,siculus,,,L. 
2161,Convolvulus,stachydifolius,,,Choisy 
2163,Convolvulus,stenophyllus,,,Boiss. 
2172,Convolvulus,tricolor,,,L. 
2186,CordiaL. ,,,,
2187,CordiaL. ,myxa,,,L. 
2189,Coridothymus,,,,Reichb. 
2191,Coridothymus,capitatus,,,(L.) Reichb. 
2203,Cousinia,,,,Cass. 
2205,Cousinia,aintabensis,,,Boiss. et Hausskn. in Boiss.
2211,Cousinia,aleppica,,,Boiss. 
2223,Cousinia,hermonis,,,Boiss.
2225,Cousinia,libanotica,,,D C
2228,Cousinia,pestalozzae,,,Boiss.
2230,Cousinia,postiana,,,Winkler
2232,Cousinia,ramosissima,,,DC.
2234,Cousinia,stenocephala,,,Boiss.
2236,Cousinia,wesheni,,,Post
2238,Crépis,,,,L.
2240,Crépis,aculeata,,,(DC.) Boiss.
2243,Crépis,alpina,,,L.
2248,Crépis,arabica,,,(Boiss. et Reut.) Boiss.
2253,Crépis,aspera,,,L.
2262,Crépis,foetida,,,L.
2265,Crépis,foetida,subsp.,commutata,(Sprengel) Bab-
2269,Crépis,foetida,subsp.,subsp.,
2270,Crépis,foetida,subsp.,foetida,
2272,Crépis,foetida,subsp.,rhoeadifolia,(Bieb.) Celak
2275,Crépis,hierosolymitana,,,Boiss.
2279,Crépis,kotschyana,,,Boiss.
2283,Crépis,micrantha,,,Czer.
2285,Crépis,palaestina,,,(Boiss.) Bornm.
2294,Crépis,pterothecoides,,,Boiss.
2296,Crépis,pulchra,,,L.
2298,Crépis,reuteriana,,,Boiss.
2301,Crépis,reuteriana,subsp.,eigiana,Babcock
2304,Crépis,reuteriana,subsp.,reuteriana,
2308,Crépis,robertioides,,,Boiss.
2310,Crépis,sancta,,,(L.) Babcock
2322,Crépis,sancta,subsp.,obovata,(Boiss. et Noë) Bab-
2328,Crépis,sancta,subsp.,subsp.,
2329,Crépis,sancta,subsp.,sancta,
2330,Crépis,senecioides,,,Del.
2332,Crépis,syriaca,,,(Bornm.) Babcock et Nav.
2339,Crépis,zacyntha,,,(L.) Babcock
2342,Cressa,,,,L.
2344,Cressa,eretica,,,L.
2346,Crucianella,,,,L.
2350,Crucianella,ciliata,,,Lam.
2352,Crucianella,exasperata,,,Fisch. et Mey.
2358,Crucianella,herbacea,,,Forssk. NOUVELLE
2361,Crucianella,imbricata,,,Boiss. 
2364,Crucianella,imbricata,var.,asperula,(Sam.) Rech.  fil. 
2369,Crucianella,imbricata,var.,imbricata ,
2370,Crucianella,latifolia,,,L. 
2372,Crucianella,macrostachya,,,Boiss. 
2375,Crucianella,macrostachya,var.,brachystachya,Boiss. 
2378,Crucianella,macrostachya,var.,hispidula,Boiss. 
2382,Crucianella,membranacea,,,Boiss. 
2386,Cruciata,,,,Mill.  
2389,Cruciata,articulata,,,(L.) Ehrendorfer 
2392,Cruciata,coronata,,,(Sibth. et Sm.) Ehrendorfer  
2399,Cruciata,coronata,var.,mesopotamica,Ehrendorfer  
