,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
2050,Convolvulus,dorycnium,,,L. 
2053,Convolvulus,dorycnium,subsp.,oxysepalus,(Boiss.) Rech.  fil. 
2060,Convolvulus,elegantissimus,,,Mill. 
2062,Convolvulus,euphraticus,,,Bornm. 
2064,Convolvulus,galaticus,,,Rostan ex Choisy 
2068,Convolvulus,hamrinensis,,,Rech.  fil. 
2075,Convolvulus,humilis,,,Jacq. 
2077,Convolvulus,libanoticus,,,Boiss. 
2079,Convolvulus,lineatus,,,L. 
2083,Convolvulus,pentapetaloides,,,L. 
2085,Convolvulus,pilosellifolius,,,Desr. 
2087,Convolvulus,reticulatus,,,Choisy 
2089,Convolvulus,scammonia,,,L. 
2091,Convolvulus,secundus,,,Desr. 
2093,Convolvulus,siculus,,,L. 
2097,Convolvulus,stachydifolius,,,Choisy 
2099,Convolvulus,stenophyllus,,,Boiss. 
2107,Convolvulus,tricolor,,,L. 
2120,CordiaL. ,,,,
2121,CordiaL. ,myxa,,,L. 
2123,Coridothymus,,,,Reichb. 
2125,Coridothymus,capitatus,,,(L.) Reichb. 
2137,Cousinia,,,,Cass. 
2139,Cousinia,aintabensis,,,Boiss. et Hausskn. in Boiss.
2145,Cousinia,aleppica,,,Boiss. 
2157,Cousinia,hermonis,,,Boiss.
2159,Cousinia,libanotica,,,D C
2162,Cousinia,pestalozzae,,,Boiss.
2164,Cousinia,postiana,,,Winkler
2166,Cousinia,ramosissima,,,DC.
2168,Cousinia,stenocephala,,,Boiss.
2170,Cousinia,wesheni,,,Post
2172,Crépis,,,,L.
2174,Crépis,aculeata,,,(DC.) Boiss.
2177,Crépis,alpina,,,L.
2182,Crépis,arabica,,,(Boiss. et Reut.) Boiss.
2187,Crépis,aspera,,,L.
2196,Crépis,foetida,,,L.
2199,Crépis,foetida,subsp.,commutata,(Sprengel) Bab-
2203,Crépis,foetida,subsp.,subsp.,
2204,Crépis,foetida,subsp.,foetida,
2206,Crépis,foetida,subsp.,rhoeadifolia,(Bieb.) Celak
2209,Crépis,hierosolymitana,,,Boiss.
2213,Crépis,kotschyana,,,Boiss.
2217,Crépis,micrantha,,,Czer.
2219,Crépis,palaestina,,,(Boiss.) Bornm.
2228,Crépis,pterothecoides,,,Boiss.
2230,Crépis,pulchra,,,L.
2232,Crépis,reuteriana,,,Boiss.
2235,Crépis,reuteriana,subsp.,eigiana,Babcock
2238,Crépis,reuteriana,subsp.,reuteriana,
2242,Crépis,robertioides,,,Boiss.
2244,Crépis,sancta,,,(L.) Babcock
2256,Crépis,sancta,subsp.,obovata,(Boiss. et Noë) Bab-
2262,Crépis,sancta,subsp.,subsp.,
2263,Crépis,sancta,subsp.,sancta,
2264,Crépis,senecioides,,,Del.
2266,Crépis,syriaca,,,(Bornm.) Babcock et Nav.
2273,Crépis,zacyntha,,,(L.) Babcock
2276,Cressa,,,,L.
2278,Cressa,eretica,,,L.
2280,Crucianella,,,,L.
2284,Crucianella,ciliata,,,Lam.
2286,Crucianella,exasperata,,,Fisch. et Mey.
2292,Crucianella,herbacea,,,Forssk.
2294,Crucianella,imbricata,,,Boiss. 
2297,Crucianella,imbricata,var.,asperula,(Sam.) Rech.  fil. 
2302,Crucianella,imbricata,var.,imbricata ,
2303,Crucianella,latifolia,,,L. 
2305,Crucianella,macrostachya,,,Boiss. 
2308,Crucianella,macrostachya,var.,brachystachya,Boiss. 
2311,Crucianella,macrostachya,var.,hispidula,Boiss. 
2315,Crucianella,membranacea,,,Boiss. 
2319,Cruciata,,,,Mill.
2321,Cruciata,articulata,,,(L.) Ehrendorfer 
2324,Cruciata,coronata,,,(Sibth. et Sm.) Ehrendorfer
2330,Cruciata,coronata,var.,mesopotamica,Ehrendorfer
2333,Cruciata,coronata,var.,syriaca,Ehrendorfer 
2335,Cruciata,pedemontana,,,(Bell.) Ehrendorfer 
2338,Crupina,,,,(Pers.) DC. 
2341,Crupina,crupinastrum,,,(Moris) Vis. 
2347,Cucumis,,,,L. 
2349,Cucumis,prophetarum,,,L. 
2351,Cuscuta,,,,L. 
2353,Cuscuta,approximata,,,Bab. 
2356,Cuscuta,approximata,var.,approximata ,
2358,Cuscuta,approximata,var.,schiraziana,(Boiss.) Yuncker 
2362,Cuscuta,approximata,var.,urceolata,Yuncker 
2366,Cuscuta,babylonica,,,Auch. ex Choisy 
2370,Cuscuta,balansae,,,Boiss. et Reut. ex Yuncker 
2376,Cuscuta,brevistyla,,,A.Braun. ex A. Rich. 
2381,Cuscuta,campestris,,,Yuncker 
2389,Cuscuta,epithymum,,,(L.) L. 
2393,Cuscuta,epithymum,var.,alba,(C.Presl.) Trabut 
