,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1475,Centaurea,eryngioides,var.,kasiunensis,Bornm. 
1477,Centaurea,gentyi,,,Thiéb. 
1479,Centaurea,handelii,,,Wagenitz 
1481,Centaurea,hermonis,,,Boiss. 
1483,Centaurea,heterocarpa,,,Boiss. et Gaill. ex Boiss. 
1489,Centaurea,hololeuca,,,Boiss. 
1491,Centaurea,hyalolepis,,,Boiss. 
1493,Centaurea,iberica,,,Trev. ex Sprengel 
1498,Centaurea,iberica,var.,hermonis,(Boiss.) Boiss. 
1502,Centaurea,iberica,var.,meryonis,(DC.) Boiss. 
1505,Centaurea,jacea,,,L.
1508,Centaurea,jacea,var.,cassia,(Boiss.) Briq. 
1511,Centaurea,laxa,,,Boiss. et Hausskn. in Boiss. 
1517,Centaurea,leptocephala,,,Boiss. 
1519,Centaurea,longispina,,,(Post) Wagenitz 
1522,Centaurea,meryonis,,,DC.
1524,Centaurea,mesopotamica,,,Bornm. 
1526,Centaurea,microcnicus,,,Reese et Sam. in Rech. fil.
1533,Centaurea,mouterdei,,,Wagenitz 
1535,Centaurea,myriocephala,,,Schultz Bip. ex Boiss. 
1540,Centaurea,obtusifolia,,,(Boiss. et Hausskn.)
1544,Centaurea,Wagenitz ,,,
1545,Centaurea,onopordifolia,,,Boiss.
1547,Centaurea,pallescens,,,Delile
1550,Centaurea,pallescens,var.,hyalolepis,(Boiss.) Boiss. 
1553,Centaurea,pergamacea,,,DC.
1555,Centaurea,phyllocephala,,,Boiss. 
1557,Centaurea,postii,,,Boiss. 
1559,Centaurea,procurrens,,,Sieb. ex Sprengel 
1563,Centaurea,pseudosinaica,,,Mouterde non Czerep. 
1567,Centaurea,ptosimoppapa,,,Hayek 
1569,Centaurea,pulchella,,,auct. fl. or. non Ledeb. 
1575,Centaurea,pygmaea,,,(DC.) Benth. in Benth. et Hook. 
1582,Centaurea,reducta,,,Wagenitz 
1584,Centaurea,regia,,,Boiss.
1587,Centaurea,regia,subsp.,regia ,
1588,Centaurea,rigida,,,Banks et Sol.
1593,Centaurea,rigida,var.,schizophylla,(Nâbêlek) Wagenitz
1596,Centaurea,schizophylla,,,Nâbëlek
1598,Centaurea,simulans,,,Wagenitz 
1600,Centaurea,sinaica,,,DC.
1602,Centaurea,solstitialis,,,L.
1605,Centaurea,solstitialis,subsp.,solstitialis ,
1606,Centaurea,speciosa,,,Boiss. 
1608,Centaurea,spicata,,,Boiss. 
1610,Centaurea,squarrosa,,,Willd. non Roth. 
1614,Centaurea,stramenticia,,,Hand.-Mazz. 
1616,Centaurea,thrinciifolia,,,DC.
1618,Centaurea,trachonitica,,,Post 
1620,Centaurea,triumfettii,,,AU.
1622,Centaurea,urvillei,,,DC.
1624,Centaurea,variegata,,,Lam. 
1626,Centaurea,verutum,,,L. 
